,KeywordID,KeywordLabel,DateKeywordCreated,YearKeywordCreated,TotalNumberUsed,TotalNumberIntervieweeUsing,number_of_possible_interview
268,13872,camp suicides,1996-11-14,1996.0,489,468,
269,16112,deportation from Salonika (Greece : Ghetto),1997-07-18,1997.0,22,21,
270,14212,Greece 1943 (September 8) - 1945 (May 7),1996-12-06,1996.0,1,1,
271,12321,Greek prisoners,1996-06-13,1996.0,323,261,
272,14016,Israel 1967 (June 6) - 1973 (October 6),1996-12-02,1996.0,17,4,
273,14211,Greece 1943,1996-12-06,1996.0,61,18,
274,8090,Salonika (Greece : Ghetto),1995-12-08,1995.0,16,12,
275,12869,Salonika (Greece),1996-09-26,1996.0,17,13,
276,15087,camp bribery,1997-02-26,1997.0,114,104,
277,4617,forced labor,1995-12-08,1995.0,35,26,
278,10913,future message,1996-02-01,1996.0,186,181,
279,15292,ghetto mass executions,1997-03-17,1997.0,3,3,
280,16494,shootings,1997-11-19,1997.0,377,337,
281,4071,camp quarantines,1995-12-08,1995.0,424,386,
282,16496,gassings,1997-11-19,1997.0,106,79,
283,40156,camp corpse disposal,2001-10-30,2001.0,136,126,
284,9107,camp crematoria,1995-12-08,1995.0,1103,913,
285,27327,"Moll, Otto",1999-06-28,1999.0,37,23,
286,13945,prisoner hair cutting forced labor,1996-11-25,1996.0,45,39,
287,37865,Sonderkommando prisoners,2001-04-23,2001.0,399,223,
288,12322,Dutch prisoners,1996-06-13,1996.0,135,124,
289,65562,burnings,2004-09-01,2004.0,41,40,
290,21330,camp corpses,1998-06-10,1998.0,680,598,
291,17246,camp personal property seizure,1998-03-19,1998.0,477,446,
292,20207,resistance group external contact,1998-04-30,1998.0,18,15,
293,79958,death fears,2013-03-08,2013.0,21,20,
294,13379,female camp personnel,1996-10-30,1996.0,158,139,
295,27929,camp corpse cremations,1999-08-18,1999.0,337,300,
296,4138,camp commandants,1995-12-08,1995.0,78,69,
297,20126,"Kramer, Josef",1998-04-28,1998.0,28,20,
298,27628,Weichsel Union Werke,1999-07-19,1999.0,39,24,
299,29824,ghetto corpse cremations,2000-01-06,2000.0,2,2,
300,14272,politico-military event awareness,1996-12-09,1996.0,943,837,
301,15468,transfer environmental conditions,1997-03-27,1997.0,78,76,
302,15696,forced march food,1997-04-05,1997.0,107,102,
303,14346,Jewish persecution bystander responses,1996-12-12,1996.0,297,284,
304,15887,1938 photographs (stills),1997-07-10,1997.0,8,7,
305,31258,camp crematoria (stills),2000-03-31,2000.0,25,23,
306,15155,interviewee photographs (stills),1997-03-07,1997.0,187,131,
307,14241,Poland 1989 (June 5) - 2015 (August 5),1996-12-09,1996.0,345,54,
308,39796,pre-World War II family photographs (stills),2001-08-20,2001.0,76,47,
309,19595,World War II documents and artifacts (stills),1998-04-09,1998.0,65,36,
310,29432,corpses (stills),1999-12-03,1999.0,10,9,
311,61149,prisoners (stills),2004-03-24,2004.0,12,8,
312,19593,World War II-era photographs (stills),1998-04-09,1998.0,65,43,
313,80259,determination,2014-04-10,2014.0,9,9,
314,17216,psychological distress prevention,1998-02-26,1998.0,118,100,
315,28628,inter-prisoner behavioral conduct,1999-10-13,1999.0,35,32,
316,3282,helplessness,1995-12-08,1995.0,118,108,
317,15093,camp child deaths,1997-02-27,1997.0,8,8,
318,80277,sound,2014-04-10,2014.0,12,10,
319,80280,sight,2014-04-10,2014.0,8,8,
320,37808,attitudes toward prisoner functionaries,2001-04-18,2001.0,116,104,
321,37287,Dutch kapos,2001-03-04,2001.0,14,13,
322,16458,camp humiliation,1997-11-19,1997.0,779,653,
323,41129,attitudes toward humanity,2001-12-07,2001.0,23,20,
324,14137,creative works,1996-12-05,1996.0,34,28,
325,15428,writing,1997-03-25,1997.0,31,23,
326,16561,Holocaust history,1997-11-30,1997.0,68,41,
327,39675,post-World War II reflections,2001-08-13,2001.0,349,267,
328,21024,"Jaworzno (Kraków, Poland)",1998-05-29,1998.0,53,16,
329,7626,Neudachs (Poland : Concentration Camp),1995-12-08,1995.0,52,15,
330,28550,transfer from Neudachs (Poland : Concentration Camp),1999-10-07,1999.0,3,3,
331,17049,transfer to Neudachs (Poland : Concentration Camp),1997-12-23,1997.0,30,29,
332,15101,camp smuggling,1997-02-27,1997.0,167,156,
333,16168,transfer from Buchenwald (Germany : Concentration Camp),1997-07-21,1997.0,28,25,
334,16490,transfer from Crawinkel (Germany : Concentration Camp),1997-11-19,1997.0,1,1,
335,16595,transfer from Ohrdruf (Germany : Concentration Camp),1997-12-04,1997.0,4,4,
336,16148,transfer to Buchenwald (Germany : Concentration Camp),1997-07-21,1997.0,320,300,
337,16980,transfer to Crawinkel (Germany : Concentration Camp),1997-12-18,1997.0,1,1,
338,19112,deportation from Salonika (Greece),1998-04-07,1998.0,5,5,
339,14205,Greece 1939 (September 1) - 1945 (May 7),1996-12-06,1996.0,8,4,
340,78033,prisoner identification numbers,2007-06-08,2007.0,213,202,
341,17145,ghetto cleanup forced labor,1998-01-07,1998.0,7,7,
342,16805,transfer to Warschau (Poland : Concentration Camp),1997-12-14,1997.0,66,64,
343,12950,"Warsaw (Warsaw, Poland)",1996-09-26,1996.0,56,19,
344,7595,"Warschau (Warsaw, Poland : Concentration Camp)",1995-12-08,1995.0,20,13,
345,13214,Czechoslovakia 1944,1996-10-23,1996.0,1397,293,
346,12377,camp cultural activities,1996-07-12,1996.0,374,324,
347,4234,camp latrines,1995-12-08,1995.0,444,434,
348,4008,dwarf prisoners,1995-12-08,1995.0,30,27,
349,12053,camp liquidations,1996-04-16,1996.0,250,235,
350,9125,death marches,1995-12-08,1995.0,890,812,
351,18203,Liebau (Germany : Concentration Camp),1998-03-30,1998.0,2,2,
352,63360,"Liebau (Prussia, Germany)",2004-06-24,2004.0,2,2,
353,15471,transfer physical condition,1997-03-27,1997.0,54,53,
354,18097,transfer to Liebau (Germany : Concentration Camp),1998-03-30,1998.0,12,11,
355,39398,location video footage,2001-07-25,2001.0,40,6,
356,7337,Panstwowe Muzeum Auschwitz-Birkenau,1995-12-08,1995.0,73,37,
357,15350,post-conflict persecution site visits,1997-03-19,1997.0,277,233,
358,10807,deportation awareness,1996-01-25,1996.0,308,283,
359,15802,deportation routes,1997-06-20,1997.0,54,53,
360,12157,mass graves,1996-05-03,1996.0,33,33,
361,15226,camp malnutrition,1997-03-13,1997.0,33,32,
362,25785,post-conflict aid giver-aid recipient relations,1998-11-17,1998.0,8,8,
363,15461,forced march conditions,1997-03-27,1997.0,898,825,
364,9132,deportation procedures,1995-12-08,1995.0,51,51,
365,10724,tracing loved ones,1996-01-19,1996.0,201,182,
366,16872,transfer to Altenburg (Germany : Concentration Camp),1997-12-16,1997.0,21,20,
367,13941,platform forced labor,1996-11-25,1996.0,218,173,
368,6306,"Rosensaft, Hadassah Bimko",1995-12-08,1995.0,1,1,
369,16517,clothing provision,1997-11-19,1997.0,244,226,
370,4024,Roma prisoners,1995-12-08,1995.0,791,718,
371,24817,Romania 1918 (November 11) -1939 (August 31),1998-10-22,1998.0,25,3,
372,34359,Romania 1939 (September 1) - 1944 (April 2),2000-09-25,2000.0,61,5,
373,27608,occupation deceptions,1999-07-15,1999.0,214,202,
374,26611,Jewish prisoner functionaries,1999-03-26,1999.0,640,479,
375,15812,spouses' occupations,1997-06-20,1997.0,5,5,
376,16154,transfer to Ravensbrück (Germany : Concentration Camp),1997-07-21,1997.0,609,546,
377,16285,United States 1945 (May 8) - 2000 (December 31),1997-10-20,1997.0,462,103,
378,41448,eugenics policy awareness,2001-12-19,2001.0,78,72,
379,15103,camp injuries,1997-02-27,1997.0,464,417,
380,15095,Czechoslovak prisoners,1997-02-27,1997.0,182,162,
381,3995,Kanada (Auschwitz II-Birkenau),1995-12-08,1995.0,523,365,
382,15104,camp environmental conditions,1997-02-27,1997.0,684,589,
383,17400,road construction forced labor,1998-03-26,1998.0,131,118,
384,15126,temporary identity concealment,1997-03-06,1997.0,61,55,
385,14040,Hungary 1939 (September 1) - 1945 (April 3),1996-12-03,1996.0,20,5,
386,16936,"deportation from Uzhorod (Podkarpatska Rus, Czechoslovakia)",1997-12-16,1997.0,8,8,
387,16353,deportation to Auschwitz I (Poland : Concentration Camp),1997-11-06,1997.0,38,35,
388,31596,camp barracks (stills),2000-04-17,2000.0,29,26,
389,26433,child abandonment,1999-02-23,1999.0,16,16,
390,29724,"Cyrankiewicz, Józef",1999-12-23,1999.0,5,4,
391,34122,attitudes toward Allied and/or neutral nations,2000-09-14,2000.0,34,33,
392,12504,Belgium 1944,1996-09-12,1996.0,88,4,
393,20997,transfer from Mechelen (Belgium : Concentration Camp),1998-05-28,1998.0,8,8,
394,12101,loved ones' deaths,1996-05-01,1996.0,231,214,
395,15164,factory forced labor,1997-03-10,1997.0,376,331,
396,14370,camp prisoner insignia,1996-12-12,1996.0,303,283,
397,16572,camp populations,1997-12-01,1997.0,695,611,
398,9225,factories,1995-12-08,1995.0,26,18,
399,12443,I. G. Farben,1996-07-29,1996.0,147,114,
400,12676,Gleiwitz (Germany),1996-09-26,1996.0,123,50,
401,14433,loved ones' introductions,1996-12-18,1996.0,120,119,
402,14307,Romania 1944,1996-12-11,1996.0,550,112,
403,40238,Slovak prisoner functionaries,2001-11-07,2001.0,141,111,
404,27376,civil defense,1999-06-30,1999.0,1,1,
405,10407,United States soldiers,1995-12-11,1995.0,38,37,
