,KeywordID,KeywordLabel,test_stat,p_value,Czechoslovakia (historical),Austria-Hungary (historical),Netherlands,Hungary,Poland,Russia,Romania,France,Italy,Greece,Germany,Ottoman Empire (historical),Belgium,Austria,Union of Soviet Socialist Republics (historical),Lithuania,Danzig (Free City Territory) (historical),Yugoslavia (historical),Sweden,Peru,Bulgaria,Tunisia,Australia,United States of America,Palestine (historical),Algeria,United Kingdom,Switzerland,Turkey,Brazil,Argentina,Morocco
1791,32431,resistance group smuggling,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2363,73501,Volksdeutsche soldiers,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,16453,hiding-related brutal treatment,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1774,32028,transfer from Wiesau (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838,16418,prison first impressions,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2378,7540,"Kulmhof (ÅÅÃ_dÅº, Poland : Death Camp)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2552,9498,Jewish schools,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,16306,deportation from ChrzanÃ_w (Poland),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718,30709,Czechoslovak civilian laborers,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1663,29240,"MezimÄ›stÃ_ (Bohemia, Czechoslovakia)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,15218,refugee camp diseases,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2425,77309,forced march rumors,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,11519,Rattwitz (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,11429,Gogolin (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2428,77422,Block 21 (Auschwitz I),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2429,7759,Kaufbeuren (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,15102,camp marriages,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,16862,deportation from Ostrowiec (Poland : Ghetto),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2472,79303,(u)Zeipusch (Poland : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,16837,deportation to Sosnowitz (Poland : Concentration Camp)(generic),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,16825,deportation to Pionki (Poland : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746,31303,Austrian prisoner functionaries,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2423,77249,transfer to Warsaw (Poland : Concentration Camp)(generic),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2463,7897,Braunschweig-BÃ_ssing NAG-Vereinigte Nutzkraftwagen (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,16726,transfer to Radom (Poland : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2444,7823,FÃ_nfteichen (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988,16763,transfer to Sosnowitz (Poland : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12158,Polish armed forces,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2446,7826,"Halbstadt (Bohemia, Czechoslovakia : Concentration Camp)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997,16808,transfer to Watenstedt-Hallendorf (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2456,7852,"Budzyn (Lublin, Poland : Concentration Camp)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
998,16811,deportation to Melk (Austria : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,16814,transfer to Wittenberge (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2449,7832,Ludwigsdorf (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2424,7726,MÃ_nchen-Allach (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2422,77248,transfer from Warsaw (Poland : Concentration Camp)(generic),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831,16368,transfer from Sosnowitz (Poland : Concentration Camp)(generic),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1726,30886,"Mehltheuer (Zwickau, Saxony, Germany)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,16367,transfer from Ebensee (Austria : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,16975,transfer to Budzyn (Poland : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
916,16541,transfer to prisons,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,16947,transfer from BrÃ_tz (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2515,8564,"Waldenburg (Lower Silesia, Prussia, Germany)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,11743,survivor marriages,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,16945,transfer to Bisingen (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,16360,Christian religious observance deceptions,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,15145,foster mothers,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
934,16567,French occupation zones,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,16929,deportation from Sosnowiec (Poland),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1766,31819,"Nowe Miasto (Plonsk, Warsaw, Poland : Ghetto)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,11294,Schwandorf (Germany : DP Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,16922,"deportation from PreÅ¡ov (Slovakia, Czechoslovakia)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809,16313,deportation from Grodno (Poland : Ghetto),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500,8117,"Warsaw (Warsaw, Poland : Ghetto)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,11679,"German invasion of Belgium (May 10, 1940)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1624,28175,"Kraus, Franz-Xaver",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760,31697,"Kielce-HenrykÃ_w (Kielce, Poland : Concentration Camp)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943,16589,migration attempts,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636,28608,forced labor squads (stills),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2492,8087,"Radom (Kielce, Poland : Ghetto)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
951,16600,migration preparations,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2487,80409,alcohol,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1793,32476,"transfer to Kaufering, Lager IX (Germany : Concentration Camp)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,37829,transfer from PÃ_rschkau (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1269,20613,transfer to Siegmar-SchÃ¶nau (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325,21939,trial participants,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,36073,attitudes toward collaboration and/or collaborators,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1328,22221,"Patton, George S.",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1521,26670,Eberswalde-Britz (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1335,22281,"Pomerania (Prussia, Germany : Province)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1337,22303,civilian expulsions,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,3619,(PIQ) Poland,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,41801,transfer to Bremerhaven (Germany : Concentration Camp)(generic),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,41531,transfer from (u)Neuruppin (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,13462,"Plonsk (Warsaw, Poland)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,41451,forced sterilization,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,41450,forced medical treatment,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,15698,"Krasnik (Lublin, Poland)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,41267,Schindler's List (motion picture),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,41265,mutilations,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,41179,transfer to Rensdorf (Poland : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1355,22626,roundup warnings,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,14395,prisoner of war camps (generic),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,41012,Vienna (Austria : Autonomous City/District),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,13719,"Sierpc (Warsaw, Poland)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643,15635,Danzig (FC) 1942,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642,15632,forced march time awareness,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1526,26694,transfer to Zschachwitz (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,42097,Romanian camp personnel,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,20349,"CiechanÃ_w (Warsaw, Poland)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2098,42555,"Posen-Sedan (PoznaÅ„, Poland : Concentration Camp)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1264,20445,"deportation from TarnÃ_w (KrakÃ_w, Poland : Ghetto)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1542,26769,ghetto artifacts (stills),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1860,35128,"Liebehenschel, Arthur",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748,16104,deportation from Radom (Poland: Ghetto),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270,20615,Chemnitz (Germany : Concentration Camp)(generic),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1275,20772,trial defendants,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2131,43747,"""Righteous Among the Nations""",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,13130,Latvia 1943,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1279,20803,transfer from Leipzig (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1863,35292,transfer from Eberswalde (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2124,43433,Dutch forced labor civilian supervisors,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2122,43228,anti-resistance reprisals,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284,20932,transfer from Goldau (Poland : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1539,26766,family businesses (stills),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1293,21148,transfer from Ludwigsdorf (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1294,21150,transfer from Dresden (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2112,42933,transfer from Litzmannstadt (Poland : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1295,21217,Ger Hasidism,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,15758,Union of South Africa 1945 (May 8) - 1961 (May 30),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,21383,Allach (Germany),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1529,26709,deportation to Birkenhain (Poland: Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512,26622,"Spielberg, Steven",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1890,36457,transfer from Halberstadt-Zwieberge (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378,23294,Christian religious holidays,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,40425,transfer to Schwientochlowitz (Poland : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,15517,refugee camp family interactions,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
